player,position,age,team,game,game_started,minutes_played,fg,fga,fg_p,tri_fg,tri_fga,tri_fg_p,two_fg,two_fga,two_fg_p,efg_p,ft,fta,fta_p,orb,drb,trb,assists,steals,blocks,tov,fouls,points
Nikola Jović,PF,20,MIA,3,1,15,1.3,3.7,0.364,1,2,0.5,0.3,1.7,0.2,0.5,1,1.3,0.75,0.3,6.7,7,3,0.3,0,1.3,2.3,4.7
Luke Kennard,SG,27,MEM,8,0,21.5,2.6,7.3,0.362,2.1,5.8,0.37,0.5,1.5,0.333,0.509,0.9,0.9,1,0.4,2.5,2.9,2,0.6,0.1,0.6,0.5,8.3
Walker Kessler,C,22,UTA,9,8,23.7,3.7,6.8,0.541,0.2,0.8,0.286,3.4,6,0.574,0.557,1,1.6,0.643,3.7,4.6,8.2,0.2,0.1,2.1,1.2,2.4,8.6
Braxton Key,SF,26,DEN,5,0,2.4,0.2,1,0.2,0,0.4,0,0.2,0.6,0.333,0.2,0,0,0,0,0.4,0.4,0.8,0,0,0,0.4,0.4
Corey Kispert,SF,24,WAS,15,1,23.3,3.6,8.2,0.439,1.9,5.5,0.354,1.7,2.7,0.61,0.557,1.5,1.9,0.821,0.6,2,2.6,1.5,0.3,0,1.1,1.7,10.7
Maxi Kleber,C,32,DAL,5,1,18,0.8,3.2,0.25,0.6,1.8,0.333,0.2,1.4,0.143,0.344,1.2,2,0.6,0.8,3.4,4.2,2,0.2,0.2,0.8,1.6,3.4
Kevin Knox,SF,24,DET,4,2,27.5,4.8,9.3,0.514,2,4.5,0.444,2.8,4.8,0.579,0.622,0.3,0.5,0.5,1.3,4,5.3,0.8,1,0.3,1,2.8,11.8
John Konchar,SF,27,MEM,13,2,18.7,1.2,3.3,0.349,0.6,1.9,0.32,0.5,1.4,0.389,0.442,0.1,0.2,0.5,1.2,3.1,4.2,1.7,0.6,0.7,0.3,1.2,3
Furkan Korkmaz,SG,26,PHI,11,0,7.4,0.8,2,0.409,0.4,1,0.364,0.5,1,0.455,0.5,0.4,0.5,0.667,0.1,0.5,0.6,0.3,0.5,0,0.5,0.4,2.4
Luke Kornet,C,28,BOS,12,0,13.1,2,2.4,0.828,0,0,0,2,2.4,0.828,0.828,0.7,0.8,0.8,1.3,2.3,3.6,0.6,0.6,0.5,0.3,1.1,4.7
Jonathan Kuminga,PF,21,GSW,16,1,20.4,4.2,9.4,0.447,0.4,2.2,0.2,3.8,7.2,0.522,0.47,2.8,4,0.703,0.8,2.2,3,1,0.6,0.4,1.4,2.5,11.6
Kyle Kuzma,PF,28,WAS,16,16,30.4,9.1,19.1,0.474,2.4,6.6,0.368,6.6,12.5,0.53,0.538,2.3,2.9,0.804,1.1,4.8,5.9,4.6,0.3,0.6,2.3,1.9,22.9
Jock Landale,C,28,HOU,11,0,8.7,0.6,2,0.318,0.2,0.8,0.222,0.5,1.2,0.385,0.364,0.2,0.2,1,0.8,1.2,2,0.7,0.3,0.2,0.6,0.6,1.6
Jake LaRavia,PF,22,MEM,5,0,12.2,1.4,4,0.35,0.4,2.4,0.167,1,1.6,0.625,0.4,0.2,0.4,0.5,0.6,1,1.6,0.4,0.2,0,0.4,1.6,3.4
